brand_key,n_malls_araneta,n_malls_ayala,n_malls_filinvest,n_malls_fishermall,n_malls_megaworld,n_malls_ortigas,n_malls_robinsons,n_malls_sm,n_malls_starmall,n_malls_waltermart,n_malls_total,n_chains,in_all_chains,in_multiple_chains,display_name
watsons,4,20,4,1,11,2,39,95,2,11,189,10,True,True,WATSONS
potato corner,0,25,4,2,13,2,48,82,3,6,185,9,False,True,POTATO CORNER
bench,3,20,1,2,6,1,42,77,3,13,168,10,True,True,BENCH
samsung,0,18,2,2,6,2,30,83,0,24,167,8,False,True,SAMSUNG
jollibee,0,16,1,2,2,2,41,85,4,13,166,9,False,True,JOLLIBEE
bdo,0,12,0,2,2,3,13,106,1,24,163,8,False,True,BANCO DE ORO
penshoppe,2,18,2,2,4,1,40,84,3,1,157,10,True,True,PENSHOPPE
executive optical,3,15,2,1,3,2,27,78,2,19,152,10,True,True,EXECUTIVE OPTICAL
vivo,0,11,1,2,1,1,27,80,0,14,137,8,False,True,VIVO
famous belgian waffles,0,21,0,0,3,0,16,78,0,13,131,5,False,True,FAMOUS BELGIAN WAFFLES
kfc,0,14,0,2,7,0,22,70,2,11,128,7,False,True,KFC
ian darcy,3,16,1,1,4,0,20,69,0,13,127,8,False,True,IAN DARCY
national bookstore,2,17,1,0,7,2,9,84,3,1,126,9,False,True,NATIONAL BOOKSTORE
aficionado,1,8,1,2,1,0,28,59,0,25,125,8,False,True,AFICIONADO
oppo,1,4,1,2,0,1,22,77,2,15,125,9,False,True,OPPO
mang inasal,0,7,1,1,3,1,30,66,2,10,121,9,False,True,MANG INASAL
kettle korn,0,9,2,1,1,0,28,73,0,6,120,7,False,True,KETTLE KORN
chowking,0,11,1,1,1,0,26,59,4,16,119,8,False,True,CHOWKING
dunkin,0,0,1,0,8,0,12,72,0,25,118,5,False,True,DUNKIN
greenwich,0,10,2,1,0,0,26,64,3,7,113,7,False,True,GREENWICH
goldilocks,0,7,1,2,4,1,26,47,3,21,112,9,False,True,GOLDILOCKS
octagon,0,13,1,0,3,2,20,72,1,0,112,7,False,True,OCTAGON
ace hardware,0,1,1,1,0,2,0,88,0,19,112,6,False,True,ACE HARDWARE
aquaflask,1,17,1,0,4,0,19,65,0,4,111,7,False,True,AQUAFLASK
gong cha,0,10,2,2,4,2,22,63,2,3,110,9,False,True,GONG CHA
huawei,0,13,0,1,2,0,20,68,1,3,108,7,False,True,HUAWEI
regatta,1,11,2,0,6,1,21,65,0,0,107,7,False,True,REGATTA
ideal vision center,2,13,1,0,2,0,7,82,0,0,107,6,False,True,IDEAL VISION CENTER
classic savory,0,6,1,1,2,2,17,72,0,6,107,8,False,True,CLASSIC SAVORY
